id,name,subject ,grade ,city ,price ,tel 
1,Shimon Lancry,Math,9th,Beer sheva,110,052-5381648
2,Avi Elkabetz,Physics,10th,Tel aviv,100,052-5381649
3,Tali Ploskov,English,11th,Tel aviv,120,052-5381650
4,Eliyahu Shaviro,Biology,12th,Jerusalem,130,052-5381651
5,Yehiel Lasri,Chemistry,9th,Haifa,90,052-5381652
6,Benny Vaknin,Literature,10th,Eilat,100,052-5381653
7,Yitzhak Veled,History,11th,Beer sheva,60,052-5381654
8,Shlomo Lahiani,Math,12th,Tel aviv,80,052-5381655
9,Rubik Danilovich,Math,9th,Petach tikva,90,052-5381656
10,Jacky Levi,Math,10th,Petach tikva,100,052-5381657
11,Moshe Abutbul,Math,11th,Petach tikva,110,052-5381658
12,Meir Rubenstein,Math,12th,Petach tikva,100,052-5381659
13,Shimon Lancry,Math,9th,Petach tikva,120,052-5381660
14,Avi Elkabetz,Math,9th,Petach tikva,130,052-5381661
15,Tali Ploskov,Chemistry,9th,Petach tikva,90,052-5381662
16,Eliyahu Shaviro,Chemistry,9th,Petach tikva,100,052-5381663
17,Yehiel Lasri,Math,9th,Petach tikva,60,052-5381664
18,Benny Vaknin,Biology,9th,Petach tikva,80,052-5381665
19,Yitzhak Veled,Chemistry,9th,Beer sheva,90,052-5381666
20,Shlomo Lahiani,Literature,9th,Tel aviv,100,052-5381667
21,Rubik Danilovich,History,9th,Petach tikva,110,052-5381668
22,Jacky Levi,Math,9th,Jerusalem,100,052-5381669
23,Moshe Abutbul,Physics,11th,Haifa,120,052-5381670
24,Meir Rubenstein,English,12th,Eilat,130,052-5381671
25,Shimon Lancry,Biology,9th,Beer sheva,90,052-5381672
26,Avi Elkabetz,Chemistry,10th,Beer sheva,100,052-5381673
27,Tali Ploskov,Literature,10th,Beer sheva,60,052-5381674
28,Eliyahu Shaviro,History,10th,Beer sheva,80,052-5381675
29,Yehiel Lasri,Math,10th,Beer sheva,90,052-5381676
30,Benny Vaknin,Physics,10th,Beer sheva,100,052-5381677
